figure_id,filename,caption
3.1,fig_3_1.png,"Comparison of supervised moral datasets by label type, size, task structure, and evaluation role."
3.2,fig_3_2.png,Benchmark spectrum from fixed-label supervised tasks to open-ended dilemma and rubric-based reasoning tasks.
3.3,fig_3_3.png,Theory-to-proxy overview linking consciousness theories to observable AI evaluation dimensions.
3.4,fig_3_4.png,"Model families in prior work, divided into classical classifiers, encoder transformers, and prompt-based generative systems."
3.5,fig_3_5.png,"Literature gap diagram showing what supervised, reasoning, and interpretive approaches each capture and what they miss."
4.1,fig_4_1.png,"RQ1 framework showing data, model, prediction, and evaluation loop."
4.2,fig_4_2.png,"RQ2 framework showing prompt, response, scoring, and qualitative interpretation."
4.3,fig_4_3.png,RQ3 theory map linking theories to measurable behavioural proxies.
4.4,fig_4_4.png,"Three-layer evaluation design across data type, task type, metric type, and claim strength."
5.1,fig_5_1.png,Top-level repository and environment overview.
5.2,fig_5_2.png,End-to-end workflow from raw data to final results.
5.3,fig_5_3.png,"EDA summary panels for row counts, split structure, and label balance."
5.3a,fig_5_3a.png,Example text-length and missingness plots.
5.4,fig_5_4.png,Cleaning and normalisation pipeline from raw files to processed outputs.
5.5,fig_5_5.png,Benchmark-layer construction flow.
5.6,fig_5_6.png,Supervised modelling design.
5.7,fig_5_7.png,"Prompt-evaluation design with run, score, and aggregate stages."
5.8,fig_5_8.png,"Results artefact map showing metrics, logs, models, and prompt-eval outputs."
5.9,fig_5_9.png,"Validity threat map across data, model, metric, and interpretation layers."
6.1,fig_6_1.png,Dataset strategy diagram showing benchmark-role grouping.
6.10,fig_6_10.png,Resource-role diagram showing how MFD2 supports interpretation rather than direct evaluation.
6.11,fig_6_11.png,Data quality and bias map across benchmark layers.
6.2,fig_6_2.png,ETHICS raw-to-processed overview with trainable and eval-only rows.
6.3,fig_6_3.png,"NormBank summary showing split structure, label balance, and contextual fields."
6.4,fig_6_4.png,MFRC raw-to-processed overview showing aggregation into the final benchmark form.
6.5,fig_6_5.png,MoralBench overview showing prompt-item structure and benchmark role.
6.6,fig_6_6.png,MoReBench Public overview showing structured items and rubric linkage.
6.7,fig_6_7.png,MoReBench Theory overview showing theory-linked prompt structure.
6.8,fig_6_8.png,"Interpretive benchmark schema showing item_id, metric_id, scenario_group, prompt_variant, and response_format."
6.9,fig_6_9.png,Metric specification mapping from proxy family to scoring rationale and theoretical source.
7.1,fig_7_1.png,Top-level repository structure.
7.2,fig_7_2.png,Code package structure for src/ai_ethics/.
7.3,fig_7_3.png,Data directory flow from Data/raw/ to Data/processed/ and Data/eda/.
7.4,fig_7_4.png,Core project architecture from data to models to results.
7.5,fig_7_5.png,Data loading and preprocessing interaction diagram.
7.6,fig_7_6.png,"Training pipeline showing input dataset, model choice, training, evaluation, and saved outputs."
7.7,fig_7_7.png,"Prompt evaluation pipeline with raw response storage, scoring tables, and aggregated summaries."
7.8,fig_7_8.png,"Notebook role in the project, showing inspection and figure generation on top of saved outputs."
7.9,fig_7_9.png,"Results directory structure showing metrics, models, training logs, and prompt-eval outputs."
8.1,fig_8_1.png,Supervised experiment matrix showing datasets and model families.
8.10,fig_8_10.png,Calibration plot by model.
8.2,fig_8_2.png,Model family overview.
8.3,fig_8_3.png,Run workflow from smoke test to full run.
8.4,fig_8_4.png,RQ1 metric map.
8.5,fig_8_5.png,Cross-dataset heatmap or grouped bar chart.
8.6,fig_8_6.png,ETHICS model comparison plot.
8.7,fig_8_7.png,NormBank model comparison plot.
8.8,fig_8_8.png,MFRC model comparison plot.
8.9,fig_8_9.png,Error taxonomy or example table.
9.1,fig_9_1.png,MoralBench run artefact overview or benchmark completion figure.
9.2,fig_9_2.png,MoralBench primary score plot.
9.3,fig_9_3.png,Interpretive proxy metric heatmap or bar chart.
9.4,fig_9_4.png,Scenario-level proxy results by group.
